Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
05.06.1938;00:00:00;192;Genügend
06.06.1938;00:00:00;188;Genügend
07.06.1938;00:00:00;190;Genügend
08.06.1938;00:00:00;188;Genügend
09.06.1938;00:00:00;186;Genügend
10.06.1938;00:00:00;200;Genügend
11.06.1938;00:00:00;206;Genügend
12.06.1938;00:00:00;208;Genügend
13.06.1938;00:00:00;188;Genügend
14.06.1938;00:00:00;188;Genügend
15.06.1938;00:00:00;200;Genügend
16.06.1938;00:00:00;198;Genügend
17.06.1938;00:00:00;192;Genügend
18.06.1938;00:00:00;198;Genügend
19.06.1938;00:00:00;194;Genügend
20.06.1938;00:00:00;196;Genügend
21.06.1938;00:00:00;190;Genügend
22.06.1938;00:00:00;190;Genügend
23.06.1938;00:00:00;190;Genügend
24.06.1938;00:00:00;198;Genügend
25.06.1938;00:00:00;200;Genügend
26.06.1938;00:00:00;194;Genügend
27.06.1938;00:00:00;198;Genügend
28.06.1938;00:00:00;194;Genügend
29.06.1938;00:00:00;196;Genügend
30.06.1938;00:00:00;192;Genügend
01.07.1938;00:00:00;190;Genügend
02.07.1938;00:00:00;196;Genügend
03.07.1938;00:00:00;190;Genügend
04.07.1938;00:00:00;196;Genügend
05.07.1938;00:00:00;194;Genügend
06.07.1938;00:00:00;200;Genügend
07.07.1938;00:00:00;194;Genügend
08.07.1938;00:00:00;194;Genügend
09.07.1938;00:00:00;194;Genügend
10.07.1938;00:00:00;198;Genügend
11.07.1938;00:00:00;202;Genügend
12.07.1938;00:00:00;188;Genügend
13.07.1938;00:00:00;194;Genügend
14.07.1938;00:00:00;194;Genügend
15.07.1938;00:00:00;198;Genügend
16.07.1938;00:00:00;192;Genügend
17.07.1938;00:00:00;200;Genügend
18.07.1938;00:00:00;196;Genügend
19.07.1938;00:00:00;190;Genügend
20.07.1938;00:00:00;196;Genügend
21.07.1938;00:00:00;200;Genügend
22.07.1938;00:00:00;200;Genügend
23.07.1938;00:00:00;200;Genügend
24.07.1938;00:00:00;194;Genügend
25.07.1938;00:00:00;192;Genügend
26.07.1938;00:00:00;194;Genügend
27.07.1938;00:00:00;192;Genügend
28.07.1938;00:00:00;198;Genügend
29.07.1938;00:00:00;192;Genügend
30.07.1938;00:00:00;194;Genügend
31.07.1938;00:00:00;192;Genügend
01.08.1938;00:00:00;198;Genügend
02.08.1938;00:00:00;192;Genügend
03.08.1938;00:00:00;195;Genügend
04.08.1938;00:00:00;192;Genügend
05.08.1938;00:00:00;200;Genügend
06.08.1938;00:00:00;194;Genügend
07.08.1938;00:00:00;196;Genügend
08.08.1938;00:00:00;190;Genügend
09.08.1938;00:00:00;188;Genügend
10.08.1938;00:00:00;188;Genügend
11.08.1938;00:00:00;202;Genügend
12.08.1938;00:00:00;194;Genügend
13.08.1938;00:00:00;194;Genügend
14.08.1938;00:00:00;190;Genügend
15.08.1938;00:00:00;200;Genügend
16.08.1938;00:00:00;189;Genügend
17.08.1938;00:00:00;190;Genügend
18.08.1938;00:00:00;187;Genügend
19.08.1938;00:00:00;194;Genügend
20.08.1938;00:00:00;194;Genügend
21.08.1938;00:00:00;193;Genügend
22.08.1938;00:00:00;196;Genügend
23.08.1938;00:00:00;190;Genügend
24.08.1938;00:00:00;190;Genügend
25.08.1938;00:00:00;194;Genügend
26.08.1938;00:00:00;200;Genügend
27.08.1938;00:00:00;200;Genügend
28.08.1938;00:00:00;198;Genügend
29.08.1938;00:00:00;196;Genügend
30.08.1938;00:00:00;194;Genügend
